88340	-78194
17320	-17279
101033	100176
372	33831
111941	-70361
106453	-80186
48945	-42124
6490	56443
992	-175
22872	12647
78114	22650
17799	-16982
78473	-67070
60017	-23973
77564	-19130
17999	-17615
162	26626
106513	-91415
16474	19004
33845	45143
27492	72485
16402	-15789
23561	-10517
95361	-48008
52041	-33947
79879	-79374
68408	9186
372	43021
82283	-50809
111081	-75640
80565	3815
128	6407
15160	38803
13027	22225
1703	-886
108724	-102463
111124	-67871
61599	-60313
90665	-67470
53268	-12152
6836	80715
12576	-8418
106109	-74352
69306	-68679
78372	-77555
76325	-40867
27958	-9680
52712	-440
41237	-31352
13241	8912
37466	50377
157655	-44934
817	39370
6756	280371
817	36287
24558	-10975
8124	-3455
65652	-35606
3155	17194
1352	3038
225	65042
4672	-3855
78313	-72316
68087	-38304
111137	-95748
8424	27276
20204	12359
12644	70048
10085	78622
33929	-33438
49729	-28361
31481	3789
6792	-1136
113869	-91039
42862	-40683
817	9015
41550	-37766
33735	22042
91974	-11560
89631	-51961
817	87475
11007	10426
35810	64972
57637	-55183
384	87892
26726	9066
15132	73450
33831	-31874
78472	-21552
94666	-71384
613	15636
12628	4737
112126	-97953
47289	-14055
18068	17296
505	34966
68342	-67525
41287	-4848
104557	-89013
31331	-30828
33585	3863
85571	-29213
6461	-5857
58268	-22871
35389	52719
817	337570
6261	-3618
43189	-43056
17611	284750
33945	34718
52009	-51574
106538	-80034
77941	-26614
4158	17301
37117	-15346
125	4547
817	15706
33776	-17626
17421	54123
53451	-16118
18003	54
72557	-55550
9827	-240
101105	-62346
108234	-98450
21856	11075
78338	-35051
40122	-39531
283728	-253616
37177	51049
103928	-16140
13177	-2165
4718	28749
28563	48413
4272	-3455
66119	-30680
817	-677
26153	14812
33852	-10293
32332	-19598
79048	-1848
79115	-36789
21296	-20567
35209	52426
6062	-5678
24410	-13900
2179	-1795
9832	49318
3784	3142
33369	7002
71436	-49685
37215	-31820
18035	17435
74954	13169
17750	17722
78744	-26769
48020	-30687
23768	-7767
91450	-90754
14243	77797
114981	-84740
78577	-61716
103044	-21546
35974	-10135
78570	-63906
1424	42600
40346	-4263
23267	34227
15903	201300
11662	23826
26324	11009
14060	95481
122255	-87179
33172	-32355
33577	334651
33745	132201
817	26084
37285	-36836
15149	67888
87775	-76523
41535	46843
37898	15771
56930	-21533
604	87137
106051	-86499
33621	-29070
78378	9690
322832	-318163
2643	20063
134	77414
